filename,profID,Downward/Upward,Date,hh_UTC_start,mm_UTC_start,hh_Local_start,mm_Local_start,hh_UTC_end,mm_UTC_end,hh_Local_end,mm_Local_end,X_m,Y_m,Name_profile,Profile_depth_m,Instrument,Serial_Number,T1,T2,S1,S2,C1,C2,P_offset_dbar,Comments,
Example,1,D,17-May-2024,20,49,22,49,20,56,22,56,540300,150178,P01,140,VMP,28,1699,1704,2020,2080,191,190,,"Time set to UTC, calibration file not modified before depoyment, small weight",
DAT_053,1,D,13-Jan-2026,10,23,11,23,,,,,680414,216848,VMPS,100,microCTD,310,1466,1680,1731,1973,,,,"Time set to UTC, calibration file not modified before deployment, small weight. Lake depth: 201 m.",
DAT_053,2,D,13-Jan-2026,10,38,11,38,,,,,680370,216873,VMPS,110,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 201 m. Pull back when microCTD reaches 110 m.,
DAT_053,3,D,13-Jan-2026,10,54,11,54,,,,,680360,216886,VMPS,110,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 201 m. Profiling duration set to 1 min 20 (110 m).,
DAT_055,1,D,13-Jan-2026,11,46,12,46,,,,,680108,218642,VMPC,115,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 181 m. Located 110 m south of actual VMPC. Profiling duration set to 1 min 40 (120 m).,
DAT_055,2,D,13-Jan-2026,12,5,13,5,,,,,680100,218704,VMPC,115,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 178 m. Profiling duration set to 1 min 40 (120 m). microCTD out of water after profile.,
DAT_055,3,D,13-Jan-2026,12,22,13,22,,,,,680147,218623,VMPC,115,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 181 m. Located 100 m south of actual VMPC. Drifting towards North (pass mooring).,
DAT_057,1,D,13-Jan-2026,13,51,14,51,,,,,679912,218604,VMPC,90,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 111 m. Drifting towards North (tense rope at the end of the profile). Profiling duration set to 4 min (100 m).,
DAT_057,2,D,13-Jan-2026,14,3,15,3,,,,,679912,218615,VMPC,95,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 106 m. Drifting towards North (tense rope at the end of the profile). Profiling duration set to 4 min (100 m).,
DAT_057,3,D,13-Jan-2026,14,17,15,17,,,,,679915,218623,VMPC,100,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 105 m to 92 m (drifting towards North-West). ,
DAT_059,1,D,13-Jan-2026,14,50,15,50,,,,,680136,218656,VMPC,120,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 179 m. Drifting towards North. ,
DAT_059,2,D,13-Jan-2026,15,8,16,8,,,,,380136,218745,VMPC,120,microCTD,310,1466,1680,1731,1973,,,,Lake depth: 176 m. Drifting towards North. ,
